mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_prep__do_normalize,param_prep__lowercase,param_vec__max_features,param_vec__min_df,param_vec__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.5633393128712973,0.16129345192676514,0.5682247479756674,0.01955196446449265,0.5,True,,200000,3,"(1, 1)","{'clf__C': 0.5, 'prep__do_normalize': True, 'prep__lowercase': None, 'vec__max_features': 200000, 'vec__min_df': 3, 'vec__ngram_range': (1, 1)}",0.945694370721439,0.9495884649964504,0.9482159628325303,0.9478329328501399,0.0016126637449112259,11
8.036273320515951,0.14311758806296704,0.6996152400970459,0.03986627934444711,0.5,True,,200000,3,"(1, 2)","{'clf__C': 0.5, 'prep__do_normalize': True, 'prep__lowercase': None, 'vec__max_features': 200000, 'vec__min_df': 3, 'vec__ngram_range': (1, 2)}",0.9468629409003241,0.9500974749613171,0.9489277008517493,0.9486293722377969,0.0013372366081732742,9
3.4660003185272217,0.10231349415824832,0.5206176439921061,0.009372745793942453,0.5,True,True,200000,3,"(1, 1)","{'clf__C': 0.5, 'prep__do_normalize': True, 'prep__lowercase': True, 'vec__max_features': 200000, 'vec__min_df': 3, 'vec__ngram_range': (1, 1)}",0.945694370721439,0.9495884649964504,0.9482159628325303,0.9478329328501399,0.0016126637449112259,11
7.954315821329753,0.15010372919949522,0.6886041164398193,0.05903095121995335,0.5,True,True,200000,3,"(1, 2)","{'clf__C': 0.5, 'prep__do_normalize': True, 'prep__lowercase': True, 'vec__max_features': 200000, 'vec__min_df': 3, 'vec__ngram_range': (1, 2)}",0.9468629409003241,0.9500974749613171,0.9489277008517493,0.9486293722377969,0.0013372366081732742,9
3.572415749231974,0.1316774282288026,0.5478471120198568,0.007499703945637239,1.0,True,,200000,3,"(1, 1)","{'clf__C': 1.0, 'prep__do_normalize': True, 'prep__lowercase': None, 'vec__max_features': 200000, 'vec__min_df': 3, 'vec__ngram_range': (1, 1)}",0.9468614758010037,0.9520509500624684,0.9487988068598859,0.9492370775744527,0.002141140146749927,7
8.01729941368103,0.13579977390710632,0.837755044301351,0.010041911902938646,1.0,True,,200000,3,"(1, 2)","{'clf__C': 1.0, 'prep__do_normalize': True, 'prep__lowercase': None, 'vec__max_features': 200000, 'vec__min_df': 3, 'vec__ngram_range': (1, 2)}",0.9483594838095414,0.9524810710376266,0.9494075441018492,0.9500826996496724,0.0017490467079709548,5
3.1769518852233887,0.13278037734332218,0.5150516033172607,0.01045845361259765,1.0,True,True,200000,3,"(1, 1)","{'clf__C': 1.0, 'prep__do_normalize': True, 'prep__lowercase': True, 'vec__max_features': 200000, 'vec__min_df': 3, 'vec__ngram_range': (1, 1)}",0.9468614758010037,0.9520509500624684,0.9487988068598859,0.9492370775744527,0.002141140146749927,7
7.873436689376831,0.22704780056992147,0.7778209845225016,0.010158149031147562,1.0,True,True,200000,3,"(1, 2)","{'clf__C': 1.0, 'prep__do_normalize': True, 'prep__lowercase': True, 'vec__max_features': 200000, 'vec__min_df': 3, 'vec__ngram_range': (1, 2)}",0.9483594838095414,0.9524810710376266,0.9494075441018492,0.9500826996496724,0.0017490467079709548,5
3.8614490032196045,0.12602923652965034,0.5366833209991455,0.0015072335442822692,2.0,True,,200000,3,"(1, 1)","{'clf__C': 2.0, 'prep__do_normalize': True, 'prep__lowercase': None, 'vec__max_features': 200000, 'vec__min_df': 3, 'vec__ngram_range': (1, 1)}",0.9490142669787397,0.9531009322113063,0.9498182926676434,0.9506444972858965,0.0017677044877814907,3
6.405258099238078,0.12559903439373407,0.5225443840026855,0.005654211780059436,2.0,True,,200000,3,"(1, 2)","{'clf__C': 2.0, 'prep__do_normalize': True, 'prep__lowercase': None, 'vec__max_features': 200000, 'vec__min_df': 3, 'vec__ngram_range': (1, 2)}",0.9497806006209004,0.9527304858301434,0.949983240716839,0.9508314423892942,0.0013453723759104922,1
3.7119486331939697,0.11506187607639635,0.4392709732055664,0.024050144518279425,2.0,True,True,200000,3,"(1, 1)","{'clf__C': 2.0, 'prep__do_normalize': True, 'prep__lowercase': True, 'vec__max_features': 200000, 'vec__min_df': 3, 'vec__ngram_range': (1, 1)}",0.9490142669787397,0.9531009322113063,0.9498182926676434,0.9506444972858965,0.0017677044877814907,3
6.139447530110677,0.14209717609365047,0.48487186431884766,0.01049478696906858,2.0,True,True,200000,3,"(1, 2)","{'clf__C': 2.0, 'prep__do_normalize': True, 'prep__lowercase': True, 'vec__max_features': 200000, 'vec__min_df': 3, 'vec__ngram_range': (1, 2)}",0.9497806006209004,0.9527304858301434,0.949983240716839,0.9508314423892942,0.0013453723759104922,1
